fid,USGS_ID,Date_Min,Date_Max,Fatalities,Confidence,LS_Type,Inventory,Inv_URL,Info_Source,Notes,Lat_N,Lon_W,State,Feature,Glyph
90509,pt90509,2007/04/15 00:00:00,,0,5,Debris flow,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,Palisades Interstate Park-NJ-Section,"Dataset also contains information about landslide causes and impacts. GPS. Heavy rain. Heavy rain triggered a landslide on Henry Hudson Drive which was closed for one month, damage to road and retaining walls.",40.9288846380001,-73.9253498259999,NY,point,🛘
90511,pt90511,2011/08/28 00:00:00,,0,5,Debris flow,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,NJGS Files,Dataset also contains information about landslide causes and impacts. GPS. Heavy rain. Debris flow along Lake Wallkill Rd. triggered by Tropical Storm Irene.,41.2592562720001,-74.53286258,NJ,point,🛘
90512,pt90512,2013/12/01 00:00:00,2013/12/31 00:00:00,0,5,Rockfall,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,NJDOT,Dataset also contains information about landslide causes and impacts. GPS. Weathering. Rockfall from cliff along Rt. 29.,40.4205582020001,-75.057951252,NJ,point,🛘
90513,pt90513,2008/08/01 00:00:00,2008/08/31 00:00:00,0,5,Rockfall,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,NJGS Files,Dataset also contains information about landslide causes and impacts. GPS. Weathering. Small rockfall along Schooley's Mountain Road.,40.8088292050001,-74.818438724,NJ,point,🛘
90514,pt90514,1971/08/28 00:00:00,,0,5,Debris flow,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"Jaffer, 1971","Dataset also contains information about landslide causes and impacts. GPS. Heavy rain. Debris flow triggered by heavy rains from Hurricane Doria, a large section of the Morris Canal slid onto Vetrone Drive causing substantial property damage.",40.8920376620001,-74.203060966,NJ,point,🛘
90515,pt90515,1952/12/13 00:00:00,,1,5,Rockslide,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"New York Times, 1952, Star Ledger 1952","Dataset also contains information about landslide causes and impacts. GPS. Weathering. A rockslide killed a 10 year old boy, another ten year old boy suffered a broken ankle while playing on Panther Mountain, estimated location.",40.9607783000001,-74.74193273,NJ,point,🛘
90516,pt90516,2011/08/29 00:00:00,,0,5,Debris flow,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,NJGS Files,Dataset also contains information about landslide causes and impacts. Aerial photo. Heavy rain. Small landslide along Rt. 202 south east of Whiton Rd. on steep slope due to Tropical Storm Irene.,40.5521779590001,-74.728488845,NJ,point,🛘
90517,pt90517,2003/08/01 00:00:00,2003/08/31 00:00:00,0,5,Slump,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,Middletown Twp.,Dataset also contains information about landslide causes and impacts. Air Photo. Heavy rain. Small slump block.,40.384551012,-74.018869797,NJ,point,🛘
90518,pt90518,2007/04/15 18:43:00,,0,5,Debris flow,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"Travers, 2007","Dataset also contains information about landslide causes and impacts. GPS. Heavy rain. Landslide after heavy rain on Farnham Ave., some property damage, backyard covered in mud, 50 families displaced.",40.8812592850001,-74.092318548,NJ,point,🛘
90519,pt90519,1905/10/01 00:00:00,1905/10/31 00:00:00,1,5,Slump,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,NJ Labor & Industry,"Dataset also contains information about landslide causes and impacts. Aerial photo. Clay digging. A laborer, while digging in a brick yard pit, at Hackensack, was crushed to death by a mass of clay which fell upon him. Estimated location, exact location unknown.",40.8602649700001,-74.035688038,NJ,point,🛘
90520,pt90520,1961/08/06 10:00:00,,0,5,Rockslide,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"New York Times, 1961","Dataset also contains information about landslide causes and impacts. Aerial photo. Weathering. Rockslide caused thousands of dollars in damage, 100 feet of road destroyed, rocks stopped one hundred feet short of fifty people at the waters edge, estimated location.",40.9453171070001,-73.920707624,NY,point,🛘
90521,pt90521,,,0,5,Rockfall,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"New Jersey Transportation Planning Authority, 2005","Dataset also contains information about landslide causes and impacts. Aerial photo. Weathering. Rockfall area along Rt. 80, the roadway cut is highly fractured causing loose rock fragments to fall onto the road, estimated location.",40.929167701,-74.891009357,NJ,point,🛘
90522,pt90522,2001/03/01 00:00:00,2001/03/31 00:00:00,0,5,Rockfall,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"NJDOT, 2006",Dataset also contains information about landslide causes and impacts. GPS. Weathering. Small rockfall.,40.422035991,-75.059236824,PA,point,🛘
90523,pt90523,2005/04/03 00:00:00,,0,5,Debris flow,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"Monteith and Guhl, 2005","Dataset also contains information about landslide causes and impacts. GPS. Heavy rain. Two landslides after heavy rain, 40 feet by 30 feet along County Rt. 619, some utility and property damage.",40.5573959980001,-75.081265264,NJ,point,🛘
90524,pt90524,2005/04/03 00:00:00,,0,5,Debris flow,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"Morris County Engineering Dept., 2007",Dataset also contains information about landslide causes and impacts. GPS. Heavy rain. Large debris flow occurred along Berkshire Valley Road (Morris County Rt. 699) across from Longwood Lake during heavy rains.,40.979298085,-74.5471561589999,NJ,point,🛘
90525,pt90525,2007/12/01 00:00:00,2007/12/31 00:00:00,0,5,Rockfall,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,NJDOT,Dataset also contains information about landslide causes and impacts. GPS. Weathering. Small rockfall along Rt. 80.,40.930889386,-74.9854159619999,NJ,point,🛘
90527,pt90527,1936/07/14 00:00:00,,0,5,Rockslide,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,New York Times 1936,Dataset also contains information about landslide causes and impacts. Aerial photo. Heavy rain. A small rock sldie occurred in the Palisades Interstate Park near the Yonkers-Alpine Ferry. Triggered by heavy rain from thunderstorms. Estimated location.,40.942797521,-73.9209489369999,NY,point,🛘
90528,pt90528,2003/08/05 00:00:00,,0,5,Debris flow,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"Patterson, 2003",Dataset also contains information about landslide causes and impacts. GPS. Heavy rain. Reported debris flow down the mountain triggered by heavy rain covered a 100 foot section of River Road.,40.832866832,-73.972438536,NJ,point,🛘
90529,pt90529,2011/08/28 00:00:00,,0,5,Slump,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,NJ.com,Dataset also contains information about landslide causes and impacts. GPS. Heavy rain. Rt 287 NB slump. Roadway collapsed due to Rockaway River washing out the riverbank during heavy rain from Tropical Storm Irene.,40.901040853,-74.4116301459999,NJ,point,🛘
90530,pt90530,2011/08/28 00:00:00,,0,5,Debris flow,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,NJ.com,Dataset also contains information about landslide causes and impacts. GPS. Heavy rain. Debris flow near state line along Lake Wallkill Rd. Triggered by Tropical Storm Irene. Temporary road closure.,41.275803743,-74.518838606,NY,point,🛘
90531,pt90531,1947/03/15 15:20:00,,0,5,Rockslide,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"Nelson and others, 2003,  New York Times, 1947","Dataset also contains information about landslide causes and impacts. Aerial photo. Weathering. Rockslide destroyed the likeness of Hitler on the Palisades, estimated location.",40.8873714540001,-73.9423180749999,NY,point,🛘
90532,pt90532,2011/08/28 00:00:00,,0,5,Debris flow,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,NJGS Files,Dataset also contains information about landslide causes and impacts. Aerial photo. Heavy rain. Debris flow on slope along Rt. 287 SB.,40.6796596990001,-74.599561358,NJ,point,🛘
90533,pt90533,1887/07/23 00:00:00,,2,5,Debris flow,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"New York Times, 1887","Dataset also contains information about landslide causes and impacts. GPS. Heavy rain/poor drainage. Two people killed and railroad tracks damaged by a debris flow after heavy rains near Manunka Chunk Mountain, estimated location.",40.8892780360001,-75.060743099,NJ,point,🛘
90534,pt90534,1938/07/23 00:00:00,,0,5,Debris flow,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"New York Times, 1938","Dataset also contains information about landslide causes and impacts. Aerial photo. Heavy rain. Report of Rt. 6 (now Rt. 46) closed for several hours by landslides after heavy rain, estimated location.",40.882468671,-74.084006323,NJ,point,🛘
90535,pt90535,2007/04/15 00:00:00,,0,5,Debris flow,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"The Record, 2007","Dataset also contains information about landslide causes and impacts. GPS. Heavy rain/broken sewer pipe. Debris flow after heavy rain on Riverview Drive along the Passaic River, road closed for repairs.",40.8968344830001,-74.212018513,NJ,point,🛘
90536,pt90536,1983/01/01 00:00:00,1983/12/31 00:00:00,0,5,Slump,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"Somerset/Union Soil Conservation District, 2006","Dataset also contains information about landslide causes and impacts. Aerial photo. Heavy rain. 200 foot long slump, fill material failure after heavy rain during construction of interstate 78, trees were knocked down, estimated location.",40.6877356860001,-74.38361686,NJ,point,🛘
90537,pt90537,1996/01/01 00:00:00,1996/12/31 00:00:00,0,5,Slump,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,NJGS Files,"Dataset also contains information about landslide causes and impacts. GPS. Fill material failure. Man made slope, fill material failure.",40.528579,-74.2829691919999,NJ,point,🛘
90538,pt90538,2011/08/28 00:00:00,,0,5,Debris flow,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,NJGS Files,Dataset also contains information about landslide causes and impacts. Aerial photo. Heavy rain. Small debris flow along County Rt. 565 (Glenwood Rd.) Between babtown Rd and Lake Pochung Rd. Triggered by Tropical Storm Irene.,41.218935994,-74.532858871,NJ,point,🛘
90539,pt90539,1956/06/18 00:00:00,,3,5,Rockslide,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"New York Times, 1956","Dataset also contains information about landslide causes and impacts. Aerial photo. Quarrying. Three quarry workers, were buried and died in a quarry rockslide of many tons of rocks, estimated location.",40.9975762220001,-74.314168223,NJ,point,🛘
90540,pt90540,2009/01/05 04:00:00,,0,5,Debris flow,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,Palisades Interstate Park,"Dataset also contains information about landslide causes and impacts. Aerial photo. Heavy rain/snowmelt. Rock slide on Henry Hudson Drive at Englewood Cliffs, Tenafly border triggered by rain and snow. Road closed for cleanup. Estimated location.",40.902880145,-73.934959493,NY,point,🛘
90541,pt90541,2007/11/01 00:00:00,2007/11/30 00:00:00,0,5,Rockfall,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,NJDOT,Dataset also contains information about landslide causes and impacts. GPS. Weathering. Rockfall along Rt. 202.,40.3891759250001,-74.937100519,NJ,point,🛘
90543,pt90543,2007/04/01 00:00:00,2007/04/30 00:00:00,0,5,Rockfall,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,NJDOT,Dataset also contains information about landslide causes and impacts. Air Photo. Weathering. Rockfall along Rt. 80. estimated location.,40.967599555,-75.118779586,NJ,point,🛘
90544,pt90544,2011/08/28 00:00:00,,0,5,Debris flow,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,NJGS Files,Dataset also contains information about landslide causes and impacts. Aerial photo. Heavy rain. Debris flow along the Rockaway River triggered by heavy rain from Tropical Storm Irene. Two houses on Harrison Street declared uninhabitable due to slope instability after the slide.,40.900721177,-74.410388105,NJ,point,🛘
90545,pt90545,2012/03/01 00:00:00,2012/03/31 00:00:00,0,5,Rockfall,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,NJDOT,"Dataset also contains information about landslide causes and impacts. Air Photo. Weathering. Rockfall along Rt. 280 in East Orange off ramp leading to Garden State Parkway, estimated location.",40.757117114,-74.205679513,NJ,point,🛘
90546,pt90546,2011/08/28 00:00:00,,0,5,Debris flow,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,NJ Herald,Dataset also contains information about landslide causes and impacts. GPS. Heavy rain. Large mudslide on Holland Circle due to Tropical Storm Irene. Temporary road closure and evacuations.,41.0448061980001,-74.6207764919999,NJ,point,🛘
90547,pt90547,2010/01/01 00:00:00,2010/01/31 00:00:00,0,5,Rockfall,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,NJDOT,Dataset also contains information about landslide causes and impacts. Air Photo. Weathering. Rockfall along Rt. 46. estimated location.,40.9047402250001,-75.0746548669999,NJ,point,🛘
90548,pt90548,2007/04/15 18:43:00,,0,5,Debris flow,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"Travers, 2007","Dataset also contains information about landslide causes and impacts. GPS. Heavy rain. Landslide onto two family house on Farnham Ave., inside of house destroyed, 70 foot retaining wall collapsed, backyard covered in mud, 50 families displaced.",40.881728186,-74.0920341519999,NJ,point,🛘
90549,pt90549,2014/03/01 00:00:00,2014/03/31 00:00:00,0,5,Rockfall,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,NJDOT,Dataset also contains information about landslide causes and impacts. GPS. Weathering. Rockfall along Rt. 57 WB.,40.7900138790001,-74.8880476579999,NJ,point,🛘
90550,pt90550,2000/09/01 00:00:00,2000/09/30 00:00:00,0,5,Rockfall,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"NJDOT, 2006",Dataset also contains information about landslide causes and impacts. Aerial photo. Weathering. Small rockfall.,40.459559986,-75.067544267,PA,point,🛘
90551,pt90551,2009/09/16 00:00:00,,0,5,Debris flow,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"Cooper, 2001","Dataset also contains information about landslide causes and impacts. Aerial photo. Heavy rain. Landslide after heavy rain during Hurricane Floyd, three houses damaged, 100 people evacuated, estimated location.",41.052016581,-74.2289066019999,NJ,point,🛘
90552,pt90552,,,0,5,Rockfall,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"New Jersey Transportation Planning Authority, 2005","Dataset also contains information about landslide causes and impacts. Aerial photo. Weathering. Rockfall area, the roadway cut is highly fractured causing loose rock fragments to fall onto the road, estimated location.",40.9171249680001,-74.777658934,NJ,point,🛘
90553,pt90553,2008/10/01 00:00:00,2008/10/31 00:00:00,0,5,Slump,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,NJGS Files,"Dataset also contains information about landslide causes and impacts. GPS. Heavy rain. Sixty foot tall 200 foot long streambank slump area was reactivated during heavy rains, the slumps here were active since at least 1970's.",40.7436192500001,-74.301668077,NJ,point,🛘
90554,pt90554,2011/08/28 00:00:00,,0,5,Debris flow,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,NJGS Files,Dataset also contains information about landslide causes and impacts. Aerial photo. Heavy rain. Small mudslide on steep enbankment along Rt. 523.,40.410814933,-74.975183896,NJ,point,🛘
90555,pt90555,2000/02/01 00:00:00,2000/02/29 00:00:00,0,5,Rockfall,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"NJDOT, 2006",Dataset also contains information about landslide causes and impacts. GPS. Weathering. Small rockfall.,40.8309061,-73.97466215,NJ,point,🛘
90556,pt90556,1967/08/14 10:00:00,,0,5,Rockfall,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"Carroll, 1967","Dataset also contains information about landslide causes and impacts. GPS. Heavy rain. A rockslide after heavy rain blocked part of Rt. 46 near the Delaware River, estimated location.",40.908911206,-75.07548629,NJ,point,🛘
90557,pt90557,1998/03/18 17:48:00,,0,5,Rockslide,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"New Jersey Turnpike Authority, 2007","Dataset also contains information about landslide causes and impacts. Aerial photo. Weathering. Rockslide on Rt. 95 Southbound local lanes, damage to one car from debris in the roadway, right lane closed to install fencing and remove debris.",40.8679536070001,-73.975635031,NJ,point,🛘
90558,pt90558,2011/08/28 00:00:00,,0,5,Slump,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,NJGS Files,Dataset also contains information about landslide causes and impacts. Aerial photo. Heavy rain. Large slump on steep hill above Culvers Creek.,41.1466706510001,-74.757494402,NJ,point,🛘
90559,pt90559,1987/04/01 00:00:00,1987/04/30 00:00:00,0,5,Debris flow,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,Lowery,Dataset also contains information about landslide causes and impacts. Aerial photo. Heavy rain. A small debris flow along Rt. 287 during its construction deposited mud in the backyards of some homes on Greenwich Street. Approximate location.,40.99728542,-74.3071118029999,NJ,point,🛘
90560,pt90560,1951/01/01 00:00:00,1951/12/31 00:00:00,0,5,Slump,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,NJGS Files,"Dataset also contains information about landslide causes and impacts. Aerial photo. Heavy rain. Landslide on Raritan River bluff five acres in size, estimated location.",40.4865996280001,-74.4221081489999,NJ,point,🛘
90561,pt90561,2011/08/28 00:00:00,,0,5,Debris flow,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,Vernon Twp. Police,Dataset also contains information about landslide causes and impacts. GPS. Heavy rain. Debris flow along Macpeek Rd. in Vernon. Temporary road closure.,41.1972164900001,-74.5177313519999,NJ,point,🛘
90562,pt90562,2000/08/12 00:00:00,,0,5,Debris flow,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"Talerico, 2003","Dataset also contains information about landslide causes and impacts. Aerial photo. Heavy rain. Massive landslide after heavy rain, property damage, railroad and Glen Road temporarily closed.",41.0438028070001,-74.622108882,NJ,point,🛘
90563,pt90563,2005/07/17 00:00:00,,0,5,Debris flow,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"Mandel, 2005","Dataset also contains information about landslide causes and impacts. GPS. Heavy rain. Significant property damage from landslide, a swimming pool was filled in with mud.",40.341383444,-74.4477655749999,NJ,point,🛘
90564,pt90564,2011/08/28 00:00:00,,0,5,Debris flow,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,NJGS Files,Dataset also contains information about landslide causes and impacts. Aerial photo. Heavy rain. Small debris flow on hillside along Segur Street in Dover due to Tropical Storm Irene.,40.8890536120001,-74.558948264,NJ,point,🛘
90565,pt90565,,,0,5,Rockfall,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,NJGS Files,"Dataset also contains information about landslide causes and impacts. Aerial photo. Weathering. Small rockfall along Route 80 eastbound, estimated location.",40.9261186150001,-74.964006329,NJ,point,🛘
90566,pt90566,1995/07/02 22:30:00,,0,5,Debris flow,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"Moore, 1995","Dataset also contains information about landslide causes and impacts. GPS. Weathering. Heavy rains caused a debris flow onto a back porch of a house, driveway and onto Forestdale Road.",40.9946056590001,-74.3698121199999,NJ,point,🛘
